SLR; log10(x); exc_std0; ct; grad,sample_id,SLR; log10(x); exc_std0; ct; mean_ng/L,dilution,specimen_type,collection_type,ct_mean_y,inv_dil,log10_inv_dil,m,c,efficiency,R2,sample_type
-3.310412275,NFL001LH[46.2],57.2182,25,unavailable,unavailable,24.411,4,0.602059991,-3.403221863,26.37744373,0.967157817,0.99946638,Plasma
-3.310412275,NFL001LH[46.2],56.5211,125,unavailable,unavailable,26.7425,0.8,-0.096910013,-3.403221863,26.37744373,0.967157817,0.99946638,Plasma
-3.310412275,NFL001LH[46.2],57.3679,625,unavailable,unavailable,29.035,0.16,-0.795880017,-3.403221863,26.37744373,0.967157817,0.99946638,Plasma
-3.310412275,NFL002LH[18.45],18.7712,5,unavailable,unavailable,23.6995,20,1.301029996,-3.312588503,28.11092701,1.003912374,0.998678528,Plasma
-3.310412275,NFL002LH[18.45],16.0449,25,unavailable,unavailable,26.239,4,0.602059991,-3.312588503,28.11092701,1.003912374,0.998678528,Plasma
-3.310412275,NFL002LH[18.45],16.7389,125,unavailable,unavailable,28.492,0.8,-0.096910013,-3.312588503,28.11092701,1.003912374,0.998678528,Plasma
-3.310412275,NFL002LH[18.45],18.4429,625,unavailable,unavailable,30.6665,0.16,-0.795880017,-3.312588503,28.11092701,1.003912374,0.998678528,Plasma
-3.337231906,NFL-QC-028,5.6939,5,plasma,Li-Hep,25.28275,20,1.301029996,-3.269727116,29.65248364,1.022255009,0.993971434,Plasma
-3.337231906,NFL-QC-028,4.7001,25,plasma,Li-Hep,27.8895,4,0.602059991,-3.269727116,29.65248364,1.022255009,0.993971434,Plasma
-3.337231906,NFL-QC-028,4.6026,125,plasma,Li-Hep,30.2525,0.8,-0.096910013,-3.269727116,29.65248364,1.022255009,0.993971434,Plasma
-3.337231906,NFL-QC-028,6.9037,625,plasma,Li-Hep,31.9975,0.16,-0.795880017,-3.269727116,29.65248364,1.022255009,0.993971434,Plasma
-3.407897109,NFL-QC-031,290.43355,5,plasma,Li-Hep,20.4485,20,1.301029996,-3.481488286,24.96387363,0.937463284,0.999923684,Plasma
-3.407897109,NFL-QC-031,292.1543,25,plasma,Li-Hep,22.8185,4,0.602059991,-3.481488286,24.96387363,0.937463284,0.999923684,Plasma
-3.407897109,NFL-QC-031,270.4077,125,plasma,Li-Hep,25.315,0.8,-0.096910013,-3.481488286,24.96387363,0.937463284,0.999923684,Plasma
-3.407897109,NFL-QC-031,262.3129,625,plasma,Li-Hep,27.742,0.16,-0.795880017,-3.481488286,24.96387363,0.937463284,0.999923684,Plasma
-3.403860557,NFL-QC-051,16.7517,5,plasma,Li-Hep,23.42175,20,1.301029996,-3.347362359,27.84837178,0.989494209,0.998407704,Plasma
-3.403860557,NFL-QC-051,14.5111,25,plasma,Li-Hep,26.0095,4,0.602059991,-3.347362359,27.84837178,0.989494209,0.998407704,Plasma
-3.403860557,NFL-QC-051,15.9439,125,plasma,Li-Hep,28.2495,0.8,-0.096910013,-3.347362359,27.84837178,0.989494209,0.998407704,Plasma
-3.403860557,NFL-QC-051,18.58,625,plasma,Li-Hep,30.4025,0.16,-0.795880017,-3.347362359,27.84837178,0.989494209,0.998407704,Plasma
-3.450945145,NFL-QC-085,104.7204,5,plasma,Li-Hep,20.792,20,1.301029996,-3.386092021,25.26974465,0.973902518,0.998401382,Plasma
-3.450945145,NFL-QC-085,97.5461,10,plasma,Li-Hep,21.9345,10,1,-3.386092021,25.26974465,0.973902518,0.998401382,Plasma
-3.450945145,NFL-QC-085,98.0858,25,plasma,Li-Hep,23.2995,4,0.602059991,-3.386092021,25.26974465,0.973902518,0.998401382,Plasma
-3.450945145,NFL-QC-085,94.6845,125,plasma,Li-Hep,25.7645,0.8,-0.096910013,-3.386092021,25.26974465,0.973902518,0.998401382,Plasma
-3.450945145,NFL-QC-085,119.8398,625,plasma,Li-Hep,27.8235,0.16,-0.795880017,-3.386092021,25.26974465,0.973902518,0.998401382,Plasma
-3.450945145,NFL-QC-088,200.20275,5,plasma,Li-Hep,19.8195,20,1.301029996,-3.274818772,24.15708425,1.020042046,0.998608296,Plasma
-3.450945145,NFL-QC-088,191.8216,10,plasma,Li-Hep,20.921,10,1,-3.274818772,24.15708425,1.020042046,0.998608296,Plasma
-3.450945145,NFL-QC-088,188.7453,25,plasma,Li-Hep,22.3185,4,0.602059991,-3.274818772,24.15708425,1.020042046,0.998608296,Plasma
-3.450945145,NFL-QC-088,210.0251,125,plasma,Li-Hep,24.5705,0.8,-0.096910013,-3.274818772,24.15708425,1.020042046,0.998608296,Plasma
-3.450945145,NFL-QC-088,262.2996,625,plasma,Li-Hep,26.6495,0.16,-0.795880017,-3.274818772,24.15708425,1.020042046,0.998608296,Plasma
-3.306753386,NFL-QC-H,110.64786,10,unavailable,unavailable,21.9354,10,1,-3.474680392,25.41746987,0.939975538,0.999387441,Plasma
-3.306753386,NFL-QC-H,102.58,50,unavailable,unavailable,24.349,2,0.301029996,-3.474680392,25.41746987,0.939975538,0.999387441,Plasma
-3.306753386,NFL-QC-H,83.4922,250,unavailable,unavailable,26.956,0.4,-0.397940009,-3.474680392,25.41746987,0.939975538,0.999387441,Plasma
-3.306753386,NFL-QC-H,91.7102,1250,unavailable,unavailable,29.1325,0.08,-1.096910013,-3.474680392,25.41746987,0.939975538,0.999387441,Plasma
-3.378644883,NFL-QC-L,5.965114286,10,unavailable,unavailable,26.0205,10,1,-3.136469467,29.18269062,1.083674234,0.998249386,Plasma
-3.378644883,NFL-QC-L,5.7151,50,unavailable,unavailable,28.4435,2,0.301029996,-3.136469467,29.18269062,1.083674234,0.998249386,Plasma
-3.378644883,NFL-QC-L,6.7494,250,unavailable,unavailable,30.561,0.4,-0.397940009,-3.136469467,29.18269062,1.083674234,0.998249386,Plasma
-3.378644883,NFL-QC-L,9.2004,1250,unavailable,unavailable,32.468,0.08,-1.096910013,-3.136469467,29.18269062,1.083674234,0.998249386,Plasma
-3.378644883,NFL-QC-M,18.31574286,10,unavailable,unavailable,24.37457143,10,1,-3.324259522,27.72012491,0.999027976,0.99854498,Plasma
-3.378644883,NFL-QC-M,15.4422,50,unavailable,unavailable,26.985,2,0.301029996,-3.324259522,27.72012491,0.999027976,0.99854498,Plasma
-3.378644883,NFL-QC-M,20.1104,250,unavailable,unavailable,28.959,0.4,-0.397940009,-3.324259522,27.72012491,0.999027976,0.99854498,Plasma
-3.378644883,NFL-QC-M,19.9272,1250,unavailable,unavailable,31.334,0.08,-1.096910013,-3.324259522,27.72012491,0.999027976,0.99854498,Plasma
-3.43628071,NFL-QC-087,837.5762,10,plasma,Li-Hep,18.164,10,1,-3.564602178,21.75490218,0.907814803,0.999144951,Plasma
-3.43628071,NFL-QC-087,725.3717,50,plasma,Li-Hep,20.7805,2,0.301029996,-3.564602178,21.75490218,0.907814803,0.999144951,Plasma
-3.43628071,NFL-QC-087,789.9928,250,plasma,Li-Hep,23.055,0.4,-0.397940009,-3.564602178,21.75490218,0.907814803,0.999144951,Plasma
-3.43628071,NFL-QC-087,666.2917,1250,plasma,Li-Hep,25.711,0.08,-1.096910013,-3.564602178,21.75490218,0.907814803,0.999144951,Plasma
-3.43628071,NFL-QC-090,465.5347,10,plasma,Li-Hep,19.0405,10,1,-3.610169227,22.65781923,0.892323251,0.999910886,Plasma
-3.43628071,NFL-QC-090,430.3899,50,plasma,Li-Hep,21.5595,2,0.301029996,-3.610169227,22.65781923,0.892323251,0.999910886,Plasma
-3.43628071,NFL-QC-090,382.0901,250,plasma,Li-Hep,24.139,0.4,-0.397940009,-3.610169227,22.65781923,0.892323251,0.999910886,Plasma
-3.43628071,NFL-QC-090,369.2177,1250,plasma,Li-Hep,26.592,0.08,-1.096910013,-3.610169227,22.65781923,0.892323251,0.999910886,Plasma
